,QGL,Qo,PFUNDO,TFUNDO,psup,TMONCKTP,qliq,QGT,Qw,bsw,rgo,rgl,delta_p
14,0.0,210.0,43.30399460822196,88.0,10.0,-8.636559857385457,300.0,150000.0,90.0,0.3,714.2857142857143,500.0,33.30399460822196
15,0.0,120.0,47.01798536881231,88.0,10.0,-1.518377920054992,300.0,150000.0,180.0,0.6,1250.0,500.0,37.01798536881231
16,0.0,29.999999999999996,39.92384875935015,88.0,10.0,0.1832965555209394,300.0,150000.0,270.0,0.9,5000.000000000001,500.0,29.92384875935015
17,0.0,3.0000000000000027,32.57672315703422,88.0,10.0,4.058994644130536,300.0,150000.0,297.0,0.99,49999.99999999996,500.0,22.576723157034223
18,0.0,297.0,44.275065737160574,88.0,10.0,-21.675084669763933,300.0,300000.0,3.0,0.01,1010.10101010101,1000.0,34.275065737160574
19,0.0,270.0,44.989153280304016,88.0,10.0,-19.944680773582583,300.0,300000.0,30.0,0.1,1111.111111111111,1000.0,34.989153280304016
20,0.0,210.0,46.67003257368004,88.0,10.0,-16.103010077407482,300.0,300000.0,90.0,0.3,1428.571428571429,1000.0,36.67003257368004
21,0.0,120.0,49.91829719154668,88.0,10.0,-8.850812326246276,300.0,300000.0,180.0,0.6,2500.0,1000.0,39.91829719154668
22,0.0,29.999999999999996,42.75872360627925,88.0,10.0,-1.7630522547837888,300.0,300000.0,270.0,0.9,10000.000000000002,1000.0,32.75872360627925
23,0.0,3.0000000000000027,40.50444379001531,88.0,10.0,3.608327903983463,300.0,300000.0,297.0,0.99,99999.99999999993,1000.0,30.50444379001531
24,0.0,1485.0,125.9544376649247,88.0,10.0,20.914772557500505,1500.0,30000.0,15.0,0.01,20.2020202020202,20.0,115.9544376649247
25,0.0,1350.0,127.69559950954252,88.0,10.0,24.99540864347137,1500.0,30000.0,150.0,0.1,22.22222222222222,20.0,117.69559950954252
26,0.0,1050.0,130.7469197077928,88.0,10.0,33.03329285683231,1500.0,30000.0,450.0,0.3,28.571428571428573,20.0,120.74691970779281
27,0.0,600.0,133.49808716751264,88.0,10.0,43.2039008451291,1500.0,30000.0,900.0,0.6,50.0,20.0,123.49808716751264
28,0.0,149.99999999999997,128.35726403573312,88.0,10.0,47.6352218655536,1500.0,30000.0,1350.0,0.9,200.00000000000003,20.0,118.35726403573312
29,0.0,15.000000000000014,125.15839868814822,88.0,10.0,49.20330478903097,1500.0,30000.0,1485.0,0.99,1999.9999999999984,20.0,115.15839868814822
30,0.0,1485.0,65.21807758501721,88.0,10.0,11.918329126448445,1500.0,300000.0,15.0,0.01,202.020202020202,200.0,55.21807758501721
31,0.0,1350.0,65.16298015063443,88.0,10.0,17.480590115808212,1500.0,300000.0,150.0,0.1,222.22222222222223,200.0,55.162980150634425
32,0.0,1050.0,67.94007052009567,88.0,10.0,26.648619305173625,1500.0,300000.0,450.0,0.3,285.7142857142857,200.0,57.940070520095674
33,0.0,600.0,81.99307477534286,88.0,10.0,35.40315547444364,1500.0,300000.0,900.0,0.6,500.0,200.0,71.99307477534286
34,0.0,149.99999999999997,69.48819728704395,88.0,10.0,44.2527454507127,1500.0,300000.0,1350.0,0.9,2000.0000000000005,200.0,59.488197287043945
35,0.0,15.000000000000014,70.41740065236597,88.0,10.0,45.96625063291754,1500.0,300000.0,1485.0,0.99,19999.99999999998,200.0,60.41740065236597
36,0.0,1485.0,98.27794241008918,88.0,10.0,4.032553619433047,1500.0,750000.0,15.0,0.01,505.050505050505,500.0,88.27794241008918
37,0.0,1350.0,99.41468759062174,88.0,10.0,9.43777877155761,1500.0,750000.0,150.0,0.1,555.5555555555555,500.0,89.41468759062174
38,0.0,1050.0,102.38188678158566,88.0,10.0,18.428517665358267,1500.0,750000.0,450.0,0.3,714.2857142857143,500.0,92.38188678158566
39,0.0,600.0,109.78553414439048,88.0,10.0,26.70822526225247,1500.0,750000.0,900.0,0.6,1250.0,500.0,99.78553414439048
40,0.0,149.99999999999997,109.15354602663773,88.0,10.0,37.81088555343907,1500.0,750000.0,1350.0,0.9,5000.000000000001,500.0,99.15354602663773
41,0.0,15.000000000000014,110.31850747231046,88.0,10.0,39.7554923971357,1500.0,750000.0,1485.0,0.99,49999.99999999995,500.0,100.31850747231046
42,0.0,1485.0,154.64819609274744,88.0,10.0,-8.262461036885792,1500.0,1500000.0,15.0,0.01,1010.10101010101,1000.0,144.64819609274744
43,0.0,1350.0,156.1983830728365,88.0,10.0,-3.596518020154087,1500.0,1500000.0,150.0,0.1,1111.111111111111,1000.0,146.1983830728365
44,0.0,1050.0,159.7905080897104,88.0,10.0,4.3432978315873445,1500.0,1500000.0,450.0,0.3,1428.571428571429,1000.0,149.7905080897104
45,0.0,600.0,166.45865674295385,88.0,10.0,11.628970252526264,1500.0,1500000.0,900.0,0.6,2500.0,1000.0,156.45865674295385
46,0.0,149.99999999999997,169.37095063282638,88.0,10.0,27.64132709410688,1500.0,1500000.0,1350.0,0.9,10000.000000000002,1000.0,159.37095063282638
47,0.0,15.000000000000014,170.9237601346118,88.0,10.0,30.077211388318208,1500.0,1500000.0,1485.0,0.99,99999.9999999999,1000.0,160.9237601346118
48,0.0,2970.0,131.5853548566055,88.0,10.0,41.07985569165785,3000.0,60000.0,30.0,0.01,20.2020202020202,20.0,121.5853548566055
49,0.0,2700.0,133.29970931097333,88.0,10.0,45.512633252237706,3000.0,60000.0,300.0,0.1,22.22222222222222,20.0,123.29970931097333
50,0.0,2100.0,136.7445154301353,88.0,10.0,52.9357380423555,3000.0,60000.0,900.0,0.3,28.571428571428573,20.0,126.7445154301353
51,0.0,1200.0,141.61897882371798,88.0,10.0,60.28521153994388,3000.0,60000.0,1800.0,0.6,50.0,20.0,131.61897882371798
52,0.0,299.99999999999994,136.58683084944107,88.0,10.0,64.32214819624053,3000.0,60000.0,2700.0,0.9,200.00000000000003,20.0,126.58683084944107
53,0.0,30.00000000000003,135.3072446923981,88.0,10.0,65.37671958148451,3000.0,60000.0,2970.0,0.99,1999.9999999999984,20.0,125.30724469239809
