X	Layer 1: FBH Pressure
3011,21416584172	369,775687060413
3075,77772063164	368,484415329472
3141,01694052984	367,179630289719
3206,93182553629	365,861331941153
3273,52237565102	364,529520283776
3340,78859087401	363,184195317586
3408,73047120527	361,825357042584
3477,34801664479	360,45300545877
3546,64122719258	359,067140566144
3616,61010284864	357,667762364705
3687,25464361297	356,254870854455
3758,57484948556	354,828466035392
3830,57072046642	353,388547907517
3903,24225655554	351,93511647083
3976,58945775293	350,468171725331
4050,61232405859	348,987713671019
4125,31085547251	347,493742307896
4200,6850519947	345,98625763596
4276,73491362516	344,465259655212
4353,46044036389	342,930748365652
4430,86163221088	341,382723767279
4508,93848916614	339,821185860095
4587,69101122966	338,246134644098
4667,11919840145	336,657570119289
4747,22305068151	335,055492285668
4828,00256806983	333,439901143235
4909,45775056642	331,81079669199
4991,58859817128	330,168178931932
5074,39511088441	328,512047863062
5157,8772887058	326,84240348538
5242,03513163546	325,159245798886
5326,86863967338	323,46257480358
5412,37781281957	321,752390499462
5498,56265107402	320,028692886531
5585,42315443675	318,291481964788
5672,95932290774	316,540757734233
5761,171156487	314,776520194866
5850,05865517452	312,998769346687
5939,62181897031	311,207505189696
6029,86064787437	309,402727723892
6120,7751418867	307,584436949276
6212,36530100729	305,752632865848
6304,63112523615	303,907315473608
6397,57261457327	302,048484772556
6491,18976901866	300,176140762691
6585,48258857232	298,286599310312
6680,45107323424	296,372890937207
6776,09522300443	294,43445462344
6872,41503788289	292,470856079248
6969,41051786961	290,481644945614
7067,0816629646	288,466353962329
7165,42847316786	286,424498079233
7264,45094847939	284,355573505812
7364,14908889917	282,259056693856
7464,52289442723	280,134403247274
7565,57236506356	277,981046752621
7667,29750080815	275,79839752312
7769,698301661	273,585841248246
7872,77476762213	271,342737540004
7976,52689869152	269,068418366073
8080,95469486918	266,762186358834
8186,0581561551	264,423312988029
8291,83728254929	262,051036583347
8398,29207405175	259,644560191545
8505,42253066247	257,203049250849
8613,22865238146	254,725629063162
8721,71043920872	252,211382042155
8830,86789114424	249,659344712394
8940,70100818803	247,068504431371
9051,20979034009	244,43779580244
9162,39423760042	241,766096742213
9274,25434996901	239,05222416075
9386,79012744586	236,29492920683
9500,00157003099	233,492892023446
9613,88867772438	230,644715950304
9728,45145052603	227,74892110021
9843,68988843596	224,80393722453
9959,60399145415	221,80809576892
10076,1937595806	218,759621003939
10193,4591928153	215,656620095098
10311,4002911583	212,497071952852
10430,0170546096	209,278814673862
10549,3094831691	205,999531349308
10669,2775768369	202,65673397259
10789,9213356129	199,247745125238
10911,2407594973	195,769677053611
11033,2358484899	192,219407666435
11155,9066025907	188,59355287971
11279,2530217998	184,888434604726
11403,2751061172	181,100043508487
11527,9728555429	177,223995462217
11653,3462700768	173,255480317144
11779,395349719	169,189201285558
11906,1200944695	165,019302728479
12033,5205043282	160,739283515592
12161,5965792952	156,341892265194
12290,3483193704	151,818999599627
12419,775724554	147,161440927488
12549,8787948457	142,358820979638
12680,6575302458	137,399268059986
12812,1119307541	132,269121216532
12944,2419963707	126,952526472942
13077,0477270956	121,430907525335
13210,5291229287	115,682259579207
13344,6861838701	109,680188174784
13479,5189099197	103,39257040652
13615,0273010777	96,7796394959426
13751,2113573439	89,7911562868815
13888,0710787183	82,3620711661503
14025,606465201	74,4055559083213
14163,817516792	65,801144788834
14302,7042334913	56,3729899795607
14442,2666152988	45,8457825639914
14582,5046622146	33,741597943628
14723,4183742387	19,0767586195313
14865,007751371	0

