X	Layer 1: FBH Pressure
10782,7053718712	184,834753321774
10901,9254536078	181,19460918668
11021,7985972651	177,472712899693
11142,3248028431	173,664764740252
11263,5040703417	169,766047583208
11385,3363997609	165,771367566912
11507,8217911008	161,674983426214
11630,9602443614	157,470521722269
11754,7517595426	153,150874364203
11879,1963366445	148,708073674488
12004,293975667	144,133138666647
12130,0446766101	139,415883978028
12256,4484394739	134,544679719266
12383,5052642584	129,50614587237
12511,2151509635	124,284757994787
12639,5780995893	118,862330547107
12768,5941101357	113,217327904202
12898,2631826028	107,32392705978
13028,5853169905	101,150712916058
13159,5605132989	94,6588129571219
13291,1887715279	87,7991451018175
13423,4700916776	80,5082011279268
13556,4044737479	72,7012823795375
13689,9919177388	64,2610065451081
13824,2324236505	55,0162784988394
13959,1259914827	44,6997869427793
14094,6726212357	32,8489712826115
14230,8723129093	18,5171438364542
14367,7250665035	0

